config,trial,success,latency_s,est_cost_usd,exec_confidence,semantic_relevance,historical_reliability,metadata_completeness,context_alignment,review_score,warning_count,hard_failure_count,artifact_count,metric_row_count,run_dir
c0_full,1,True,161.67,1.3908,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,1,0,0,44,
c0_full,2,True,141.17,1.126965,0.785,0.675,0.7,1.0,0.825,1.0,0,0,6,22,
c0_full,3,True,135.57,1.097335,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,6,22,
c1_wo_planning,1,True,36.23,0.4439,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,4,0,0,22,
c1_wo_planning,2,True,36.52,0.42467,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,0,22,
c1_wo_planning,3,True,38.53,0.42754,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,0,22,
c2_wo_review,1,True,120.97,1.078685,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,,0,0,6,22,
c2_wo_review,2,True,128.72,1.087765,0.7837500000000001,0.6875000000000001,0.7,1.0,0.7875,,0,0,6,22,
c2_wo_review,3,True,127.03,1.11229,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,,0,0,6,22,
c3_wo_qc,1,True,123.83,1.104765,,,,,,1.0,0,0,6,22,
c3_wo_qc,2,True,123.41,1.098125,,,,,,1.0,0,0,6,22,
c3_wo_qc,3,True,134.34,1.09668,,,,,,1.0,0,0,6,22,
c4_wo_dualspace,1,True,129.08,1.09519,0.7775,0.675,0.7,1.0,0.775,1.0,0,0,6,22,
c4_wo_dualspace,2,True,132.35,1.119975,0.8018749999999999,0.7125,0.7,1.0,0.85,1.0,0,0,6,22,
c4_wo_dualspace,3,True,131.12,1.103965,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,6,22,
c5_wo_memory,1,True,128.87,1.097715,0.8018749999999999,0.7125,0.7,1.0,0.85,1.0,0,0,6,22,
c5_wo_memory,2,True,134.41,1.106515,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,6,22,
c5_wo_memory,3,True,127.96,1.103985,0.815,0.7500000000000001,0.7,1.0,0.85,1.0,0,0,6,22,
c6_vanilla,1,True,24.75,0.4147,,,,,,,0,0,0,22,
c6_vanilla,2,True,25.09,0.42118,,,,,,,0,0,0,22,
c6_vanilla,3,True,23.71,0.421555,,,,,,,0,0,0,22,
